,user_id,actual,recomendations
13,22,"[ 951590 1044078 1053690  844179  870547  883932 1106523  963727  965766
 5568378 5569230  930917  871756 8090521  995211 1081177 1068719  916122
 1101173 1133018  822407  892008  985911 1126870 1004906  899624  910032
 1139142 1092026  856772 9527494 1139525  897306 1042438 6534480  998008
 5569327 5568721  995876  845078  960318 9527160  845208  951190  928049
  925862  923746 1069979  858102  940766]","[951590, 1044078, 1053690, 844179, 870547]"
14,23,"[ 961554  840361 1040346  866211  893018 1056509  857503  896369  989249
  878996 1024306 5569471 5569374  889731  924352 1027569 1096036 1067606
  847982 1003188 1076608  897125  910032 1004906  835285 1058997 1006184
  908531  962568 1046968  844179 9911484 1126899  893501 1105488 9526410
 1070820  944466  862349  859075 1051781  844166  948670 1060363  960732
 1062572 6979160  913785 6979128  858439]","[961554, 840361, 1040346, 866211, 893018]"
15,24,"[ 1004906  1044078   844179   840361  1081177  1068719   923746   859075
   913785   965766   910032   951590   899624  1106523   916122   823704
  1133018  1038217  1101173   999270   847982  5568378   940766   979707
   844165   999858   871756   898068 12301100  1096036   833025  5592931
 12810393   823990   987562   870547  1020581  1043590   892008   962568
  8090537 12301109   845208   854852  8065410   944534   998206   914190
  5569230   866211]","[1004906, 1044078, 844179, 840361, 1081177]"
16,25,"[  845208  1037863  1106523  1068719  1004906   923746  1044078   998373
   951590   836445   844179   899624  1043590   823990  1103691   871756
  1081177   865456  1133018   832678   896613   965766   972143 12301839
  1059902  1068292   896862   827919   910032   963727 12731544   965267
   863447  9836106   992933   925862   838319   823704  7168026   969866
   819308   999270  1000753   988693  1096635  1009770   934639   930666
   942525  5570408]","[845208, 1037863, 1106523, 1068719, 1004906]"
17,26,"[  986021   883932   898068   951590   925862   825170   910032   960732
   902172   887428  6904459   827919   828393  1139525   863885  1122115
   935393  1051211   965766   844179   940766   992172  1052294  1057749
  1006878   936355  1105301   834911   926307   997796  9835509   988835
  1044188  1078763   846550   971053  1115577  1127611   916122  8090513
  1082627   855138   877523   819927  1119454 12301839  1121367   982790
  1082544   963727]","[986021, 883932, 898068, 951590, 925862]"
18,27,"[  938849 12262832   849098  1133018   882109   823862   878996   835004
   866211  1106523   923746   885463  5995597   926422  1039081   930118
   954077   826272   929751   891906 12384953  9836353   866871  1042616
  1127179  1027090   933637   827332   847207  1068719   821083  1138189
  1076056   878611  7167853  8090440  1003616   981677  1008596  1081177
  6533912  1118623  1028816  1054957 13842224  1125278  7408211  5570467
  6396581   977166]","[938849, 12262832, 849098, 1133018, 882109]"
19,28,"[  951412   916122   854852   995965   897954   985999  1026118   970030
   979707  1081177   961554   878996  1046262  7024990   840361  1081189
   922127   901062  1028816  1023720   987562  1057102   891961  1079987
   824005  5578547  1137688  1080853   996028   879528  8019681  1009449
   862826  8203720  1119405  1042697  1039156 12326050   903325  1022254
  1109014  1009187 12731436   970202   909714   930118   819594  1115358
   832001   933835]","[951412, 916122, 854852, 995965, 897954]"
20,29,"[ 1040807   933835   951590   940947  5569230   856252   819978   874972
  1043751   866211  1101010  1018740   865528   844179   840361  1020581
  9296919   968072  1004906  1065061  1087102   859075   827656   883003
  1070702   910032   916122  1081177   890695   914190   852600   961554
 12810393  8119004   916487   826597  1132771  1005186  1006184   972665
  9487885  1022340   845193  1006414   837644   999563  1117556   971922
   827079   986869]","[1040807, 933835, 951590, 940947, 5569230]"
21,30,"[  868764  1008012   900145   844165   907418  1005186   857554   962522
   840601   972312  1053690  1114604  5995596   952122  1096099   970760
   991951  1043920   916990 10282046 12352190   906335   891542  1039156
  6551782  1018670  7166862  9677270  1076467  1092026  1085604   834103
   961620  1036501 13212996   905998 10344971   878611  1081189  1065593
   858892 12731447  1056964 10345155  5569098  1085983 13213121   826695
  9934800  1034290]","[868764, 1008012, 900145, 844165, 907418]"
22,31,"[ 7166791   895295  1098694   958676 12352054  6704142  1043142   843656
  1128880  6464170   963365  5995177   981288  1006483   986021   875638
   969292  6772690  9419528   847738   916122   925766  1048299  1028715
   883400 13008412  7168463  1056212 13416093   972665   897125   987122
  9487414   981660  9420314  1097237  1139023   898847   896085   898867
  1042702  1017718   834826   821134  1103513   884731  1002591  7463287
   900937  1055339]","[7166791, 895295, 1098694, 958676, 12352054]"
23,32,"[ 840361  844179  854852 1004906  916122  999858 1081177  979707 1037751
  961554  923746  962568 1133018  908531  965766 1024306  962229 5569230
  865178 1044078 1068719  878996  866211  961979 1128812 1106523  880150
  848029  882305  820486 1016800 1076056 1043973  863447  847982  967144
  828106 1005186 1077555  867188 9245106 1042697  999250  866540  896862
 1020581  923670  887691  913785 1053690]","[840361, 844179, 854852, 1004906, 916122]"
24,33,"[  879699  9859183 10150194  1008012   922651   965772  1105433  6554400
   852856   952924  5567876   978318  1071343   901067  6704142  5569376
   890689   901397   981660  5566472  7409644  8293440  1022097 12384177
  1032512   868764  5564948   911454  1120069   870390 12385374   912704
   956813  1117393  5572220  1063907  1027569  9419444  1053628   898867
  1017718  1011578  1037798 13007912   840890   883616   881260  1116671
  1101422  8293425]","[879699, 9859183, 10150194, 1008012, 922651]"
25,34,"[ 878996 1052912  961554 1083770  840361 1071939  873654  962568  883370
  958046 1004906 1024306 1109090 1077555  916050 1011578 1096343  976199
 1077048 1125077  941734 1055168  908531  946788 1105488  866871 1133893
 1130111  923746 1104343 1056509  902167  890610 6424460  867188 1039589
 1018397 1007116 1005186  847982  962671  981591  868546 1059593  878637
  828106  860975 8249365  965267  926597]","[878996, 1052912, 961554, 1083770, 840361]"
26,35,"[ 878996 1058997 1126899  993466 1062002  840361 1023720  866211  961554
  901062  960732  854852 1024306 1098248  862349 1070820 1081177  945662
  933637  884686 1006342 6602697  923673  928342  836286 1026118 1010681
  891954  916993 1105488  990688  895268 1039156 1022254 1071342  824305
  853172  909714  916122 7024990  885710  942278  901666  913894 1095751
 1118479  971983 1027569  885356  924352]","[878996, 1058997, 1126899, 993466, 1062002]"
27,36,"[ 878996  866211  923746  965267  845208 1101980 1037863 1106523  930118
 1003188 1105488 1068719  840361 1015296 1133018 1015280 1024306  857006
 1004906 1081177  866871 5585510  933637 1008547  823862 1127232  863447
  999250 1023720 1022254 1005186  961554 8273833 8273950  860975  857503
 9420337  889731 7410071 1122358  996070 8090440 1068258 1074333 1067606
 1042697 1085846  879689  896613 1015375]","[878996, 866211, 923746, 965267, 845208]"
28,37,"[  870428  6533911  6534030  8090513  1022859   867931   961554  8090536
   888614  8090556  1007082  8090546  1033089  5568249  8090532   916122
  1070782   917654  6034857   831888  1060673  1050741  1037332  1073150
  7166890   876695  5981072 13382402  1110111 12949590  1067419  5574358
  1098910   888476  1058997  1107553  1080472  1048472  1110843  8119156
  8118591  1083524  6919433  1011300  1058404  1125530  1044805  8273833
  6464074  8091601]","[870428, 6533911, 6534030, 8090513, 1022859]"
29,39,"[1006483  916122 1046839 1008316 1077430  854852  900586 1075368 1114811
  985889 1021116  849809 1109014  948298 1125123  895268 1109638  961554
 7166791 1076195  948670 1011926  896085 1075313 1137775 1006250 1079987
 1111129  995628  975155 1091520  862308 1036470 1006664  840361 1104349
  920109 1009719 1092040 1042571 1136257 8090513  960732 8203606 1026334
 1082990  902167  970619 1131830  987562]","[1006483, 916122, 1046839, 1008316, 1077430]"
30,40,"[ 9189814 13842214 10345155 13842090   964594   866548   893501  1053690
  6551861   860248  1106505 10285022   929018  1108094  1068291  1011920
   926796   917407  1097001   860528 13512737  1075368  1100140   947292
  5995483  9803601   946839   916990  1063207   834158   859010   947658
  5592888   843689   912287  5564636   921744   971504   978077  8276172
  1052294  1050851   915086  1110572   959737  1007796  1104475  1011300
  1005186  1095964]","[9189814, 13842214, 10345155, 13842090, 964594]"
31,41,"[  986021 10282046  1135552  5570882   960732   925862  1013895   823721
  1072519 10149640  1131374  1011459   842125  1104227   883268  1051211
  1079913   833724   916122   963835 12172071  9835509  9859111  1053875
   981660   845462   883932  1055425  1105433  1063907   926307 12298966
   985181   884686   955687  1132814  9858920  1087547  1025641   895348
  1125944 10150194   951590   852863  5568447   855138   839192   936355
   923723   878285]","[986021, 10282046, 1135552, 5570882, 960732]"
32,42,"[  916122  1020581 12810393  1053690   985999  1101173  9296919  5569230
  1038217   897954   844179  1137346  1081177  8090521   967461   823721
   881391   998008  1044078   855138   898510   935570  9833277   840361
   847989   890695   999858  1086119   989824  1092026   882604   996028
   979707   841287  1029685  1127624   987562  1004906 12384365   874972
  9707240  5565356   925626  1072523   930917  1006483   895680  5568378
 12349795   839656]","[916122, 1020581, 12810393, 1053690, 985999]"
33,43,"[ 916122 1012284  854852 9835509  961554  840361 1010590 1126899  999858
  901062  962568 1081177 1046262 1058997  944836  985999  833724 1101725
 1106064 1136257 1101706  987724 1136353  970030  824813  979707  917543
  868423  856435 1070538  843756 1058404  955075 1049906 6633273 1113667
 1046488  819594  873178  997796  964011 1046584  856345  961021  859610
 1046816 1077745 1036347 1055425 1116821]","[916122, 1012284, 854852, 9835509, 961554]"
34,46,"[  916122   854852  1046262   970030   903325   885023   985999  1035843
  1137688   900802  1116821   901062   962568   848319  1025399  1106271
   914190   911157  1117514   913459   961554  1077359   840361   944249
   925112  1136257   852486   954525  1136353   991223   964262  1101706
   979707   825313  6633210  5568191  1062340   937301  5569471   865178
   932179   999858 10356076   828935   987562   970747   989918   843756
  1026118   951412]","[916122, 854852, 1046262, 970030, 903325]"
35,47,"[  911311  1040812   845193  1129610  1037751   956284  1070727   996009
  1094562   989409   843911   822517   954424   912860   967144  1028715
 10456404  1133018   923149  1139023  1066251   951590  1011141   890695
  1011427   871756   974179   832678  1101932  9419198   912840  1022795
   857176   965766  1095587  1037863  1130692  1138677  1070716   941198
  1139569   846202  1125391   923746   883932   986869   844165  1092937
  1110624   864658]","[911311, 1040812, 845193, 1129610, 1037751]"
36,49,"[  840361   902856   887342   917654   934369  1043730   965766  1048352
   913785   948832  1130763  1071342  1127624  1043494  1045220   950824
   923673   841228   888476  1113768   837751   893018   889731   819304
  1084177   909894   819063   961554   866211  1096036  1020156  1082212
 10344586   930917   879152   859026   838602   918368  1013597  1032950
  1076056  1044805   923849   949991  1007210   867020  7167967  1068719
   936753   885290]","[840361, 902856, 887342, 917654, 934369]"
37,52,"[  866211   878996   865174  1135222  1082212  9419487  1046587 12648967
  1096458   892376  1102927  1053754   856827  1122358  1120443   832768
  1006649   992765  1015280   965267  1133254   993466  1078652  5568197
   831557  1131488   829001  1113768  1088414  1137344  1121656   837751
  5565202   857503   832678   933637   964520  1024306  1098844   823576
   963336  5573375   999104   823775   982755   950935   871188   923169
  5568732  1023720]","[866211, 878996, 865174, 1135222, 1082212]"
38,53,"[ 1106523   923746   840361  7433888 12518330  1128812  1024051  9837807
   904574   963868   845774  1035880 10457519   956125  1133018  7025203
   947797  1043973  1024306  9837153  1057315   822225  1086795  1104205
   866211  1095040  1004906  6463367   865891   878996   882305  6442520
  1132036  1017201   996750 12171407  1029685   871680   831712  1035243
   979792   831557  7409670  1037863   971983   970605   835616   833724
  7167687  1055658]","[1106523, 923746, 840361, 7433888, 12518330]"
39,55,"[  844179   999858  1006184   882190   895295   916122  1044089  1056509
   988736   847982   823704   857503   840361  1046584  1131438   868415
  6463710 12810391   893501   833025  6463775  1127716  1016800  1028715
   967144   923746  8180870  8090536   830935   983267  5569471  5569230
  9245106   870195   899624  1037751   982790   874972  1050741  1039796
 10180324   965766  1020682   962568 12301839  1139525  1000753  1112825
   868423  1094562]","[844179, 999858, 1006184, 882190, 895295]"
40,56,"[  840361  1004906   844179   866211  1024306  5569230  1081177   965766
   854852   936634   951590  1068719  1106523   878996   862799   910032
   923746  1133018  1044078   962229   916122   845208   961554  1042438
   857503   896369  1011427   981521   888650  1121636   999858  9926758
  1020581  1041796   863447   899624   948650   979707   893018   962568
   996009  1023720   847982   927291   883932  1096036 12301109  1105488
   952163   880150]","[840361, 1004906, 1004906, 844179, 866211]"
41,57,"[ 1050741  5569471  8090532  1110111  1113141  1000237   997796   947146
  8273950  1026058   908318  1112825   857503   824005  1062128   995965
   912704  6034857   925863  7166865   929768  9483753  1011300  1027168
  1034868   846417   893501  1043787 12484608  1053924  1018007   859987
  8293447   986187   892531 12301839   831888  1039505  1107039  7139529
  8090536  1105450  1114883  1103618  5564303  5574377  5568729   834662
   955867   861706]","[1050741, 5569471, 8090532, 1110111, 1113141]"
42,58,"[  866211  1067749   965982   878996  5567325   943233   822225   981776
   933303   891141   941183  1127328  1106523 10121965  9337369   961554
  9337581   868548   923967  1043663 12263841   840361  1132036 10356441
   824915  6034966   952317   893851  1105488  1035243  1003188  1126808
  7433888   938187   843558  5565925 12518330  9194207   997011 10204333
  1133299   983659  1134109  1015141  1061885  1054539  1121636   880050
  1017616   885697]","[866211, 1067749, 965982, 878996, 5567325]"
43,59,"[ 910151 1123035  873785  885463  967144 1006184  962522  911311  995965
  909894 1125382 1073546  956284 6979427 1139569 5995597  836891 1081189
  977166 7167837  826272 1051882  882109  858892  938849 1129610  907418
  835004  996009 1079820  852360  833870 1125391 7166756  954077  831536
 7167853 1073244  900418 1046584  915874 1126252  985386  947107  840732
  969687  847982  912860  986869 1031255]","[910151, 1123035, 873785, 885463, 967144]"
44,63,"[  970619  1109014   945662  9859128   999104  1027569   898121  1115576
  1102067  1002771  1112238   907099   854852   843689  1070497  6552253
   909714   834382  1075313   901062  1001827   837270   916122   892531
   879528   934172   903800  1075368   900208  5569230   924423   872066
   935578  1051211  1134810   923789   927291  1127600  1111080  1084310
   971807  1053875   883912  1007269   960732 10121965   974108  1005186
  1019832  1011926]","[970619, 1109014, 945662, 9859128, 999104]"
45,64,"[ 1044805   988736   999858   965766   882489   857503   944249   981660
   916122   844179   885406  1046584   935393   888233   835618  1004906
   862799   840361   845622   982790   888650   852080   879734   902172
   919535  1128206  1098910   871252   838319  1037751  5591359  9296965
  5568191   883825   853522  5996469   930666 13381584   997988   896862
  1068719   934394  1028891  1113274   899624  1039796   897125  1100691
   851129  1013407]","[1044805, 988736, 999858, 965766, 882489]"
46,65,"[  916122   925112   978387   970030  1046262   828935   985999 13071902
  6633210   865178  1137688   833724  1012284   979707   848071  1009128
  5563693   930603   901367   943393 12383754   913459  1062660  6533394
  1036014  1054483  1046756   934156  1116821   944137  1128938  1101706
  1028816   970202   854852   906017  1004555  9835509  1100975  8091550
   989824   964853  1043837  1005456   856345  1048257  1077745  8203976
  1139835  1135354]","[916122, 925112, 978387, 970030, 1046262]"
47,67,"[  822517   951176   946995   974179   972515  5995177   857176   973086
   874972   912840   850807   916122   912860   826597   934948  1046131
   956284  9881592  9884484  1126252 12301268   941295   831587   908636
  5995101  1134738   878775  5582712  1031447   968072   921438  1101932
   883003  1007512  1011141   940947   927382   991761   996009   933835
  1037751   998549 10456180   914476   887526   988508  1054215   820486
  1087102   982743]","[822517, 951176, 946995, 974179, 972515]"
48,68,"[1090931  891393 1135932 5571248  896849  983584 1022984  971660  830202
  973086  846634 5568378  863885  827271 1019099  824005 1006438  828219
 6533878 1106523  852015 1115552 9526624  987122  916122  862130  992870
  866043  829291 8090521 1085604 9677874 1116020  939681 1042345  860947
  937686 8119157 1029684 5564901 1120275  831888  999198 1114811  917772
 6534480  877358  830887 9396673  828393]","[1090931, 891393, 1135932, 5571248, 896849]"
49,69,"[ 893501 5569471  961554  840361  962568  916122 1081177  854852  862349
 1058997  897125 1053690  857503 5569230  970119 1136257  859075 1126899
 5569374  847982  896369 1006184  916993 1027569  859010  987562 8090532
 1071939 1046584 5592888 1070820  921744  893018  903350 1004906 1038217
 1096036  844179  914190 1024306 1037332 6034857  908531 6442594 1110142
 1079228  989249  866211 8090536  973889]","[893501, 5569471, 961554, 840361, 962568]"
50,70,"[  987562   845208   944137  1037631  1046262   970030   916122   848071
   932179   878445  1002558  9707498  5592261  1104649  1106271  1103629
  1026118 12523928  5567176  1072523   829852 10356076  6979089  1081177
   926065   970202  1101706   989824   985999  1092363  6602697   965693
   890909  1118623   923746 12946027  1137688   965963   911614   835300
  1028816  1068292  1046756   912902   973780   828935   925112  5995985
  6463742   908408]","[987562, 845208, 944137, 1037631, 1046262]"
51,71,"[12810393   968936   843259  1070463   896369   911470   844179  1130716
   944534   971078   961554   909750  1104604  1048361   890739   953539
   828867 12810422  1039081  1129321  1044068   909894  7025047 12731714
 12301405  1096036  1137680   866211  1038217  9571047   882109   889731
  9833277  1128240   891752   835476   906226  1056746  1127179   998558
  1003188  1052752   847982  6979128  1117500  1020581   872382  1046968
  1023958   935968]","[12810393, 968936, 843259, 1070463, 896369]"
52,72,"[ 1016800   849697   986912   844179   955910  1090884 13115501   962229
   970760  1004906  5591939   926206  5569230 12301405   862799   996009
   883202  1056005   993638   848329  1132968  1094562   929433  9926758
  1102845   825176   942556  1034290  1139418  1070702  1011427   988116
   934697   923149   893018  1020581  1051283  1050851  1054424  8015407
   947107   866488  1138677   896369   956284   852080  6442594  7144132
   974156   832285]","[1016800, 849697, 986912, 844179, 955910]"
53,74,"[  997309   854852   925862   821083 12672980  1003616  5582712  1104349
   940947   916122   840361  1106523  1024306   923746   948665  1023720
  1081177  1071556  1044188   835098  1133018   878996  1068719   833724
  8205252  8119318   905436  1007512   834129  1076580  1009187  1063739
  8203599  1100972   891632 10149640  1019643  1102829   923670  1048299
   934399  1037863   916758   863447  1004906  1090676  1102067  6464170
   880150   949742]","[997309, 854852, 925862, 821083, 12672980]"
54,75,"[ 1024306   965267   882247  8090440  5569230  9487306   857503  1010185
   996070  6548453  1009449   834303   900802   983584   866211  1034955
  1139782  1075214   878996  1099164   954966  1016800  1098844   865174
  1022848   935393  1067820   899624   877226   961979   873902   903325
   957951   866172   982393  1105488   823576   956599   910964   962568
   873654   963971   862335  1009046  1005456 12810391   907061   896613
   888092   979057]","[1024306, 965267, 882247, 8090440, 5569230]"
55,76,"[  840361  1024306   960732   937928  1133018  1106523   878996  1081177
   854852  1023720   893501  1017220   923746   907141  1134810  1053690
  1004906  9934800  1068719   896369   845208   925862  1019883  1076608
  1104227  1044188   924352  8357418   857503   891954  1042697   901062
  1112766  1098248  1120085   888650   961554   876624   998558   978343
   827261   913046  1102067   916122  1045586   901840   845622  1130111
   821025 12263857]","[840361, 1024306, 960732, 937928, 1133018]"
56,77,"[1081177 1068719 1004906  987562  845208  840361  913785 1044078 1037863
  916122  854852  965766  923746 1133018  979707  844179 1106523 1043590
  998556 1103629  896862  871756  842140  925862 1002558  844165  951590
 5568378  999858  998373 5592931  976335  827919 1058930 9527494 1036289
 1022254 1131344  969205  963727 1076056  992933 1068292 6533765  995876
 1077490  873178  940700 1026118 1101173]","[1081177, 1068719, 1004906, 987562, 845208]"
57,78,"[  859026  1006438  5571248   891393   827271 12810393   892221  1054215
   867667   935570   930917   891217   935770  1021416 12518330   921554
   896027  1072799  9833277   883665  1016276  1109516   851188  1045220
  1071556 12811532   901916  9296919   832335  1076306  1128880   985742
   851683  1101567  8119159   929018  9527455 10285022   887783   936897
   821890  1033234  1135354   990984  1046816  1013999   822407   923670
   964968   824311]","[859026, 1006438, 5571248, 891393, 827271]"
58,79,"[ 1036347  1072693   835618   882496   873627   965766  1070497   935578
  1084177  1082212  1105301  1045586  1115098  1115576   927291   840361
   962229   985055   965543  1109370  1120443   999858   898510   893400
   982790   878667   982360   845622  1138487   840227  1041796   902172
   909269  1015612   844179   883932   974108   824758   925862   824180
 10282046  1046488   862799   916122   972312 12301405   960732   999104
  1102829   934172]","[1036347, 1072693, 835618, 882496, 873627]"
59,80,"[  981521  1037863   845208   923746   896085   868764 10149640   863447
  6979579  1022827   935993   854852   993638   845196   958137   981660
   962568  1019142   822524  1046919   900802  5569172  1016093   862799
  5580166   896613  1024306   969932  1133018   899624   985181   871611
   931860  1004906   819255   828106   981677   882305   870614  1107553
   894439  1132968  9831557  1104647   995598  1111722   940996  6442594
  1102845   828055]","[981521, 1037863, 845208, 923746, 896085]"
60,81,"[  916122   965766   840361   902172   823721   844179   873627  1101173
 12301073   866211  9835509   997796   999858 12810393  6633273  1051211
   961554   857503   982790   898068   913785  1105301  1138487   927291
   930917 12301109   822407  1135552  1081177  1045220   986021  6633224
  1054215   910032   825882  6513604  1024731   894401   947316  5995445
   990004   865178  1020581  1116096   863885   845622  1027168   830503
  1139525  1025628]","[916122, 965766, 840361, 902172, 823721]"
61,82,"[ 1077555   840361   844179  1056509   847344   832678   908531   913785
   961554   929018  1021519   965766   869573   971807  1074283  5569230
  1051211  1005186   867188  1130375  1100972  1100379   859075   916122
   854852  1048462   937413   905087  9526410  1004906   940947   835530
  1126252   953539   866211  1043751   923670  1081177  1101567  1062572
   983078   827671   999858   847982 12301109  1137775   917438   934172
 12810393   831937]","[1077555, 840361, 844179, 1056509, 847344]"
62,83,"[  840361   961554   844179   916122  1081177   923746   866211  1004906
   847982   878996  1006184   962568   854852  1024306  1068719   908531
  1053690   979707   882305  1005186   857503   999858  5569230  1076056
  1044078   965766  1133018  1110843   893501  1027569  1023720  1073150
 12810393   893018   859075   868764  1007136   863447   896369  1106523
  6034857   865178   874972   852856   913785  1127716  1011300  1042697
  1038217   845208]","[840361, 961554, 844179, 916122, 1081177]"
63,84,"[ 5995177   948298  8203834  1028715   916122  1083207   843656   973002
  8292958   895295   963365   960278  1008316   971983   878026  1006483
  1082990   879734  1002591   981288   968211   932179  1130832   829852
   964262   900937  1011926   831125   898867   951907  1098694  1102829
  1037751  1119667  5568191  9420314   822226 13007986  1139023   881443
  5996469  1112205  1131830   925862  1137775   963868  7166791   905081
  6633210  1003616]","[5995177, 948298, 8203834, 1028715, 916122]"
64,85,"[  916122   840361   906844 12810393   961554   919535   921744  1096036
   839656   985999  1044805   893018  1004906   859010  1084177   937845
  1065593  1108854   823565   987724   888532   918368   896369   897954
   967395   913785   839419  1020581  1130763   887342   871252   911470
  1060408  1070463   993592  1022011  1000806  9833277  1029624   898510
   844179   907652   990469   860528  1100140 12811532   946839  1050851
 12425418  1054424]","[916122, 840361, 906844, 12810393, 961554]"
